YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2005-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.6,3,0.093,1,0.093,1,0.290,2,0.15,0
2005-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.4,3,0.093,1,0.093,1,0.268,2,0.15,0
2005-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.3,3,0.093,1,0.093,1,0.268,2,0.15,0
2005-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,3,0.093,1,0.093,1,0.268,2,0.15,0
2005-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,3,0.093,1,0.093,1,0.268,2,0.15,0
2005-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,3,0.093,1,0.093,1,0.268,2,0.15,0
2005-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,3,0.093,1,0.093,1,0.268,2,0.15,0
2005-01-01,8:00,86.8,125.2,58,1049,16,1,9,160,1,21,7,1,9,14,10,17,16,13,10,14,10,17,16,13,10,-9900,99,-9900,99,-9900,99,1.1,3,0.093,1,0.223,1,0.268,2,0.15,0
2005-01-01,9:00,79.6,134.7,254,1415,141,0,9,438,0,21,62,0,9,104,10,231,16,63,10,104,10,231,16,63,10,-9900,99,-9900,99,-9900,99,1.1,3,0.093,1,0.223,1,0.268,2,0.15,0
2005-01-01,10:00,72.7,147.0,421,1415,268,0,9,640,0,21,78,0,9,219,24,422,27,93,24,219,10,422,16,93,10,-9900,99,-9900,99,-9900,99,1.1,3,0.093,1,0.223,1,0.268,2,0.15,0
2005-01-01,11:00,67.8,160.7,534,1415,353,0,9,699,0,21,89,0,9,290,10,347,16,159,10,311,10,522,16,114,10,-9900,99,-9900,99,-9900,99,1.0,3,0.093,1,0.223,1,0.268,2,0.15,0
2005-01-01,12:00,65.5,175.5,586,1415,378,0,9,618,0,21,122,0,9,275,10,364,16,124,10,355,10,560,16,123,10,-9900,99,-9900,99,-9900,99,1.0,3,0.093,1,0.223,1,0.268,2,0.15,0
2005-01-01,13:00,66.1,190.6,573,1415,390,0,9,732,0,21,93,0,9,319,10,420,16,148,10,344,10,552,16,120,10,-9900,99,-9900,99,-9900,99,1.0,3,0.093,1,0.223,1,0.268,2,0.15,0
2005-01-01,14:00,69.5,205.0,495,1415,329,0,9,699,0,21,84,0,9,271,24,309,27,163,24,279,10,491,16,107,10,-9900,99,-9900,99,-9900,99,1.0,3,0.093,1,0.223,1,0.268,2,0.15,0
2005-01-01,15:00,75.3,218.2,359,1415,232,0,9,630,0,21,72,0,9,161,24,273,27,91,24,174,10,359,16,82,10,-9900,99,-9900,99,-9900,99,1.0,3,0.093,1,0.223,1,0.268,2,0.15,0
2005-01-01,16:00,82.9,229.9,175,1415,89,0,9,350,0,21,45,0,9,60,24,124,27,45,24,61,10,126,16,46,10,-9900,99,-9900,99,-9900,99,1.0,3,0.093,1,0.223,1,0.268,2,0.15,0
2005-01-01,17:00,88.6,237.0,12,483,3,1,9,56,1,21,1,1,9,2,24,1,27,2,24,2,10,1,16,2,10,-9900,99,-9900,99,-9900,99,0.9,3,0.093,1,0.223,1,0.268,2,0.15,0
2005-01-01,18:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,3,0.093,1,0.223,1,0.268,2,0.15,0
2005-01-01,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,3,0.093,1,0.223,1,0.268,2,0.15,0
2005-01-01,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,3,0.093,1,0.223,1,0.268,2,0.15,0
2005-01-01,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,3,0.093,1,0.223,1,0.268,2,0.15,0
2005-01-01,22:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,3,0.093,1,0.223,1,0.268,2,0.15,0
