YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
1997-01-01,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.093,1,0.326,1,0.15,0
1997-01-01,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.093,1,0.326,1,0.15,0
1997-01-01,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.093,1,0.326,1,0.15,0
1997-01-01,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.093,1,0.326,1,0.15,0
1997-01-01,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.093,1,0.326,1,0.15,0
1997-01-01,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.093,1,0.093,1,0.326,1,0.15,0
1997-01-01,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.093,1,0.093,1,0.326,1,0.15,0
1997-01-01,8:00,86.8,125.2,58,1049,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,16,24,70,27,12,24,17,10,82,16,12,10,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.114,1,0.326,1,0.15,0
1997-01-01,9:00,79.6,134.7,254,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,133,24,326,27,75,24,123,10,418,16,47,10,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.114,1,0.326,1,0.15,0
1997-01-01,10:00,72.7,147.0,421,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,203,24,29,27,195,24,247,10,608,16,66,10,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.114,1,0.326,1,0.15,0
1997-01-01,11:00,67.8,160.7,534,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,159,24,53,27,140,24,340,10,695,16,78,10,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.114,1,0.326,1,0.15,0
