YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
1998-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,1,0.093,1,0.093,1,0.405,1,0.15,0
1998-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,1,0.093,1,0.093,1,0.405,1,0.15,0
1998-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,1,0.093,1,0.093,1,0.405,1,0.15,0
1998-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,1,0.093,1,0.093,1,0.405,1,0.15,0
1998-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,1,0.093,1,0.093,1,0.405,1,0.15,0
1998-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,1,0.093,1,0.093,1,0.405,1,0.15,0
1998-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,1,0.093,1,0.093,1,0.405,1,0.15,0
1998-01-01,8:00,86.8,125.2,58,1049,17,1,9,184,1,21,7,1,9,19,10,142,16,11,10,20,10,165,16,11,10,-9900,99,-9900,99,-9900,99,0.7,1,0.093,1,0.065,1,0.405,1,0.15,0
1998-01-01,9:00,79.6,134.8,254,1415,151,0,9,505,0,21,60,0,9,119,10,426,16,42,10,134,10,544,16,36,10,-9900,99,-9900,99,-9900,99,0.7,1,0.093,1,0.065,1,0.405,1,0.15,0
1998-01-01,10:00,72.7,147.0,421,1415,285,0,9,700,0,21,77,0,9,160,10,302,16,71,10,262,10,717,16,49,10,-9900,99,-9900,99,-9900,99,0.7,1,0.093,1,0.065,1,0.405,1,0.15,0
1998-01-01,11:00,67.8,160.7,534,1415,378,0,9,776,0,21,85,0,9,357,10,793,16,58,10,357,10,793,16,58,10,-9900,99,-9900,99,-9900,99,0.7,1,0.093,1,0.065,1,0.405,1,0.15,0
1998-01-01,12:00,65.6,175.5,585,1415,421,0,9,801,0,21,89,0,9,401,10,821,16,62,10,401,10,821,16,62,10,-9900,99,-9900,99,-9900,99,0.7,1,0.093,1,0.065,1,0.405,1,0.15,0
1998-01-01,13:00,66.2,190.6,572,1415,409,0,9,793,0,21,88,0,9,389,10,814,16,60,10,389,10,814,16,60,10,-9900,99,-9900,99,-9900,99,0.8,1,0.093,1,0.065,1,0.405,1,0.15,0
1998-01-01,14:00,69.5,205.0,495,1415,344,0,9,685,0,21,104,0,9,314,10,746,16,53,10,323,10,768,16,54,10,-9900,99,-9900,99,-9900,99,0.8,1,0.093,1,0.065,1,0.405,1,0.15,0
1998-01-01,15:00,75.3,218.2,359,1415,195,0,9,398,0,21,94,0,9,173,10,316,16,93,10,211,10,661,16,44,10,-9900,99,-9900,99,-9900,99,0.8,1,0.093,1,0.065,1,0.405,1,0.15,0
1998-01-01,16:00,82.9,229.9,174,1415,95,0,9,297,0,21,58,0,9,83,10,59,16,76,10,80,10,416,16,29,10,-9900,99,-9900,99,-9900,99,0.8,1,0.093,1,0.065,1,0.405,1,0.15,0
1998-01-01,17:00,88.6,237.0,12,483,3,1,9,47,1,21,2,1,9,3,10,38,16,2,10,3,10,48,16,2,10,-9900,99,-9900,99,-9900,99,0.8,1,0.093,1,0.065,1,0.405,1,0.15,0
1998-01-01,18:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.065,1,0.405,1,0.15,0
