YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2003-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.4,3,0.093,1,0.093,1,0.284,1,0.15,0
2003-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.3,3,0.093,1,0.093,1,0.284,1,0.15,0
2003-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.1,3,0.093,1,0.093,1,0.284,1,0.15,0
2003-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.0,3,0.093,1,0.093,1,0.284,1,0.15,0
2003-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.9,3,0.093,1,0.093,1,0.284,1,0.15,0
2003-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.7,3,0.093,1,0.093,1,0.284,1,0.15,0
2003-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.5,3,0.093,1,0.093,1,0.284,1,0.15,0
2003-01-01,8:00,86.8,125.2,58,1049,17,1,9,186,1,21,7,1,9,19,10,111,16,13,10,20,10,156,16,11,10,-9900,99,-9900,99,-9900,99,1.6,3,0.093,1,0.068,1,0.284,1,0.15,0
2003-01-01,9:00,79.6,134.8,254,1415,152,0,9,510,0,21,60,0,9,98,10,174,16,67,10,132,10,524,16,38,10,-9900,99,-9900,99,-9900,99,1.6,3,0.093,1,0.068,1,0.284,1,0.15,0
2003-01-01,10:00,72.7,147.1,420,1415,285,0,9,700,0,21,77,0,9,159,10,63,16,140,10,256,10,693,16,51,10,-9900,99,-9900,99,-9900,99,1.7,3,0.093,1,0.068,1,0.284,1,0.15,0
2003-01-01,11:00,67.8,160.8,533,1415,379,0,9,649,0,21,134,0,9,216,10,144,16,161,10,349,10,768,16,59,10,-9900,99,-9900,99,-9900,99,1.7,3,0.093,1,0.068,1,0.284,1,0.15,0
2003-01-01,12:00,65.6,175.6,585,1415,317,0,9,332,0,21,180,0,9,118,10,0,16,118,10,393,10,796,16,64,10,-9900,99,-9900,99,-9900,99,1.8,3,0.093,1,0.068,1,0.284,1,0.15,0
2003-01-01,13:00,66.2,190.6,572,1415,285,0,9,252,0,21,183,0,9,115,10,0,16,115,10,381,10,788,16,63,10,-9900,99,-9900,99,-9900,99,1.8,3,0.093,1,0.068,1,0.284,1,0.15,0
2003-01-01,14:00,69.6,205.1,494,1415,172,0,9,56,0,21,152,0,9,208,24,316,27,97,24,315,10,741,16,56,10,-9900,99,-9900,99,-9900,99,1.9,3,0.093,1,0.068,1,0.284,1,0.15,0
2003-01-01,15:00,75.3,218.2,358,1415,106,0,9,22,0,21,100,0,9,64,24,0,27,64,24,206,10,634,16,46,10,-9900,99,-9900,99,-9900,99,2.1,3,0.093,1,0.068,1,0.284,1,0.15,0
2003-01-01,16:00,83.0,229.9,173,1415,62,0,9,103,0,21,49,0,9,26,24,0,27,26,24,78,10,394,16,30,10,-9900,99,-9900,99,-9900,99,2.2,3,0.093,1,0.068,1,0.284,1,0.15,0
2003-01-01,17:00,88.6,237.0,12,483,2,1,9,16,1,21,2,1,9,1,24,0,27,1,24,3,10,44,16,2,10,-9900,99,-9900,99,-9900,99,2.3,3,0.093,1,0.068,1,0.284,1,0.15,0
2003-01-01,18:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.5,3,0.093,1,0.068,1,0.284,1,0.15,0
2003-01-01,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.6,3,0.093,1,0.068,1,0.284,1,0.15,0
2003-01-01,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.6,3,0.093,1,0.068,1,0.284,1,0.15,0
2003-01-01,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.5,3,0.093,1,0.068,1,0.284,1,0.15,0
2003-01-01,22:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.5,3,0.093,1,0.068,1,0.284,1,0.15,0
2003-01-01,23:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.5,3,0.093,1,0.068,1,0.284,1,0.15,0
2003-01-01,24:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.4,3,0.093,1,0.068,1,0.284,1,0.15,0
2003-01-02,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.3,3,0.093,1,0.068,1,0.303,1,0.15,0
2003-01-02,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.3,3,0.093,1,0.068,1,0.303,1,0.15,0
2003-01-02,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.2,3,0.093,1,0.068,1,0.303,1,0.15,0
2003-01-02,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.2,3,0.093,1,0.068,1,0.303,1,0.15,0
2003-01-02,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.1,3,0.093,1,0.068,1,0.303,1,0.15,0
2003-01-02,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.0,3,0.093,1,0.068,1,0.303,1,0.15,0
2003-01-02,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.8,3,0.093,1,0.068,1,0.303,1,0.15,0
2003-01-02,8:00,86.8,125.1,58,1049,15,1,9,111,1,21,9,1,9,8,10,0,16,8,10,21,10,179,16,11,10,-9900,99,-9900,99,-9900,99,1.8,3,0.093,1,0.058,1,0.303,1,0.15,0
2003-01-02,9:00,79.6,134.7,254,1415,137,0,9,305,0,21,82,0,9,54,10,0,16,54,10,134,10,551,16,35,10,-9900,99,-9900,99,-9900,99,1.7,3,0.093,1,0.058,1,0.303,1,0.15,0
2003-01-02,10:00,72.7,146.9,421,1415,286,0,9,645,0,21,94,0,9,101,10,0,16,101,10,260,10,717,16,47,10,-9900,99,-9900,99,-9900,99,1.6,3,0.093,1,0.058,1,0.303,1,0.15,0
2003-01-02,11:00,67.8,160.6,535,1415,380,0,9,650,0,21,134,0,9,108,10,0,16,108,10,354,10,792,16,55,10,-9900,99,-9900,99,-9900,99,1.5,3,0.093,1,0.058,1,0.303,1,0.15,0
2003-01-02,12:00,65.5,175.4,587,1415,306,0,9,270,0,21,194,0,9,121,10,0,16,121,10,399,10,821,16,59,10,-9900,99,-9900,99,-9900,99,1.5,3,0.093,1,0.058,1,0.303,1,0.15,0
2003-01-02,13:00,66.1,190.5,574,1415,370,0,9,500,0,21,167,0,9,118,10,0,16,118,10,389,10,816,16,58,10,-9900,99,-9900,99,-9900,99,1.4,3,0.093,1,0.058,1,0.303,1,0.15,0
2003-01-02,14:00,69.4,205.0,497,1415,211,0,9,151,0,21,158,0,9,99,10,0,16,99,10,324,10,774,16,52,10,-9900,99,-9900,99,-9900,99,1.3,3,0.093,1,0.058,1,0.303,1,0.15,0
2003-01-02,15:00,75.2,218.1,361,1415,238,0,9,475,0,21,117,0,9,67,10,0,16,67,10,214,10,674,16,42,10,-9900,99,-9900,99,-9900,99,1.3,3,0.093,1,0.058,1,0.303,1,0.15,0
2003-01-02,16:00,82.8,229.8,177,1415,74,0,9,149,0,21,55,0,9,42,10,5,16,41,10,83,10,440,16,28,10,-9900,99,-9900,99,-9900,99,1.3,3,0.093,1,0.058,1,0.303,1,0.15,0
2003-01-02,17:00,88.6,237.1,13,507,3,1,9,24,1,21,2,1,9,2,10,3,16,2,10,3,10,61,16,2,10,-9900,99,-9900,99,-9900,99,1.2,3,0.093,1,0.058,1,0.303,1,0.15,0
2003-01-02,18:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,3,0.093,1,0.058,1,0.303,1,0.15,0
2003-01-02,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,3,0.093,1,0.058,1,0.303,1,0.15,0
2003-01-02,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,3,0.093,1,0.058,1,0.303,1,0.15,0
2003-01-02,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,3,0.093,1,0.058,1,0.303,1,0.15,0
