YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2001-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.093,1,0.348,1,0.15,0
2001-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.093,1,0.348,1,0.15,0
2001-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.093,1,0.348,1,0.15,0
2001-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.093,1,0.348,1,0.15,0
2001-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.093,1,0.348,1,0.15,0
2001-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.093,1,0.348,1,0.15,0
2001-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.093,1,0.348,1,0.15,0
2001-01-01,8:00,86.8,125.2,58,1049,17,1,9,129,1,21,10,1,9,16,10,56,16,13,10,16,10,56,16,13,10,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.140,1,0.348,1,0.15,0
2001-01-01,9:00,79.6,134.7,254,1415,147,0,9,353,0,21,84,0,9,118,10,366,16,52,10,118,10,366,16,52,10,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.140,1,0.348,1,0.15,0
2001-01-01,10:00,72.7,147.0,421,1415,233,0,9,419,0,21,108,0,9,240,10,563,16,73,10,240,10,563,16,73,10,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.140,1,0.348,1,0.15,0
2001-01-01,11:00,67.8,160.7,534,1415,336,0,9,583,0,21,116,0,9,335,10,655,16,87,10,335,10,655,16,87,10,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.140,1,0.348,1,0.15,0
2001-01-01,12:00,65.5,175.5,586,1415,417,0,9,724,0,21,117,0,9,380,10,690,16,94,10,380,10,690,16,94,10,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.140,1,0.348,1,0.15,0
2001-01-01,13:00,66.1,190.6,573,1415,399,0,9,753,0,21,94,0,9,368,10,682,16,92,10,368,10,682,16,92,10,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.140,1,0.348,1,0.15,0
2001-01-01,14:00,69.5,205.0,495,1415,324,0,9,682,0,21,85,0,9,302,10,627,16,82,10,302,10,627,16,82,10,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.140,1,0.348,1,0.15,0
2001-01-01,15:00,75.3,218.2,359,1415,222,0,9,596,0,21,70,0,9,192,10,500,16,65,10,192,10,500,16,65,10,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.140,1,0.348,1,0.15,0
2001-01-01,16:00,82.9,229.8,175,1415,93,0,9,349,0,21,50,0,9,69,10,239,16,40,10,69,10,239,16,40,10,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.140,1,0.348,1,0.15,0
2001-01-01,17:00,88.6,237.0,12,483,3,1,9,56,1,21,1,1,9,2,10,9,16,2,10,2,10,9,16,2,10,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.140,1,0.348,1,0.15,0
2001-01-01,18:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.140,1,0.348,1,0.15,0
2001-01-01,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.140,1,0.348,1,0.15,0
2001-01-01,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.140,1,0.348,1,0.15,0
2001-01-01,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.140,1,0.348,1,0.15,0
2001-01-01,22:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,2,0.093,1,0.140,1,0.348,1,0.15,0
2001-01-01,23:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,2,0.093,1,0.140,1,0.348,1,0.15,0
2001-01-01,24:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,2,0.093,1,0.140,1,0.348,1,0.15,0
2001-01-02,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,2,0.093,1,0.140,1,0.389,1,0.15,0
2001-01-02,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,2,0.093,1,0.140,1,0.389,1,0.15,0
2001-01-02,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,2,0.093,1,0.140,1,0.389,1,0.15,0
2001-01-02,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,2,0.093,1,0.140,1,0.389,1,0.15,0
2001-01-02,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,2,0.093,1,0.140,1,0.389,1,0.15,0
2001-01-02,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,2,0.093,1,0.140,1,0.389,1,0.15,0
2001-01-02,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,2,0.093,1,0.140,1,0.389,1,0.15,0
2001-01-02,8:00,86.8,125.0,58,1049,17,1,9,180,1,21,7,1,9,15,10,83,16,11,10,19,10,150,16,11,10,-9900,99,-9900,99,-9900,99,0.5,2,0.093,1,0.072,1,0.389,1,0.15,0
2001-01-02,9:00,79.6,134.6,255,1415,151,0,9,495,0,21,62,0,9,107,10,280,16,57,10,134,10,531,16,38,10,-9900,99,-9900,99,-9900,99,0.5,2,0.093,1,0.072,1,0.389,1,0.15,0
2001-01-02,10:00,72.7,146.9,422,1415,275,0,9,667,0,21,76,0,9,244,10,550,16,81,10,264,10,712,16,52,10,-9900,99,-9900,99,-9900,99,0.5,2,0.093,1,0.072,1,0.389,1,0.15,0
2001-01-02,11:00,67.8,160.6,535,1415,350,0,9,647,0,21,105,0,9,341,10,634,16,101,10,361,10,793,16,61,10,-9900,99,-9900,99,-9900,99,0.4,2,0.093,1,0.072,1,0.389,1,0.15,0
2001-01-02,12:00,65.5,175.4,588,1415,421,0,9,773,0,21,100,0,9,408,10,823,16,65,10,408,10,823,16,65,10,-9900,99,-9900,99,-9900,99,0.4,2,0.093,1,0.072,1,0.389,1,0.15,0
2001-01-02,13:00,66.0,190.5,575,1415,413,0,9,798,0,21,88,0,9,397,10,818,16,64,10,397,10,818,16,64,10,-9900,99,-9900,99,-9900,99,0.4,2,0.093,1,0.072,1,0.389,1,0.15,0
2001-01-02,14:00,69.4,205.0,498,1415,338,0,9,717,0,21,85,0,9,329,10,769,16,58,10,329,10,769,16,58,10,-9900,99,-9900,99,-9900,99,0.4,2,0.093,1,0.072,1,0.389,1,0.15,0
2001-01-02,15:00,75.1,218.1,363,1415,223,0,9,591,0,21,71,0,9,215,10,658,16,47,10,215,10,658,16,47,10,-9900,99,-9900,99,-9900,99,0.5,2,0.093,1,0.072,1,0.389,1,0.15,0
2001-01-02,16:00,82.8,229.8,178,1415,95,0,9,350,0,21,51,0,9,82,10,407,16,31,10,82,10,407,16,31,10,-9900,99,-9900,99,-9900,99,0.5,2,0.093,1,0.072,1,0.389,1,0.15,0
2001-01-02,17:00,88.5,237.1,13,507,4,1,9,59,1,21,2,1,9,3,10,44,16,2,10,3,10,44,16,2,10,-9900,99,-9900,99,-9900,99,0.6,2,0.093,1,0.072,1,0.389,1,0.15,0
2001-01-02,18:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,2,0.093,1,0.072,1,0.389,1,0.15,0
2001-01-02,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.072,1,0.389,1,0.15,0
2001-01-02,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.072,1,0.389,1,0.15,0
2001-01-02,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,2,0.093,1,0.072,1,0.389,1,0.15,0
2001-01-02,22:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,2,0.093,1,0.072,1,0.389,1,0.15,0
2001-01-02,23:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,2,0.093,1,0.072,1,0.389,1,0.15,0
2001-01-02,24:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,2,0.093,1,0.072,1,0.389,1,0.15,0
2001-01-03,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,2,0.093,1,0.072,1,0.309,1,0.15,0
2001-01-03,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,2,0.093,1,0.072,1,0.309,1,0.15,0
2001-01-03,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,2,0.093,1,0.072,1,0.309,1,0.15,0
