YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2010-01-01,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.4,3,0.093,1,0.093,1,0.368,2,0.15,0
2010-01-01,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.4,51,0.093,1,0.093,1,0.371,51,0.15,0
2010-01-01,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.4,51,0.093,1,0.093,1,0.374,51,0.15,0
2010-01-01,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.4,3,0.093,1,0.093,1,0.376,51,0.15,0
2010-01-01,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.4,51,0.093,1,0.093,1,0.379,51,0.15,0
2010-01-01,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.3,51,0.093,1,0.093,1,0.382,51,0.15,0
2010-01-01,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.3,3,0.093,1,0.093,1,0.385,51,0.15,0
2010-01-01,8:00,86.8,125.2,58,1049,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,15,25,12,28,14,25,16,10,68,16,12,10,-9900,99,-9900,99,-9900,99,1.3,51,0.093,1,0.124,1,0.388,51,0.15,0
2010-01-01,9:00,79.6,134.8,254,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,117,25,119,28,95,25,119,10,389,16,49,10,-9900,99,-9900,99,-9900,99,1.2,51,0.093,1,0.124,1,0.390,51,0.15,0
2010-01-01,10:00,72.7,147.0,421,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,105,24,37,27,94,24,241,10,580,16,68,10,-9900,99,-9900,99,-9900,99,1.2,3,0.093,1,0.124,1,0.393,51,0.15,0
2010-01-01,11:00,67.8,160.7,534,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,251,24,142,27,198,24,334,10,670,16,81,10,-9900,99,-9900,99,-9900,99,1.2,51,0.093,1,0.124,1,0.396,51,0.15,0
2010-01-01,12:00,65.6,175.5,586,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,316,24,220,27,224,24,378,10,703,16,87,10,-9900,99,-9900,99,-9900,99,1.2,51,0.093,1,0.124,1,0.399,51,0.15,0
2010-01-01,13:00,66.1,190.6,572,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,187,24,81,27,154,24,366,10,695,16,85,10,-9900,99,-9900,99,-9900,99,1.1,3,0.093,1,0.124,1,0.402,51,0.15,0
2010-01-01,14:00,69.5,205.0,495,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,230,24,308,27,122,24,301,10,642,16,76,10,-9900,99,-9900,99,-9900,99,1.1,51,0.093,1,0.124,1,0.404,51,0.15,0
2010-01-01,15:00,75.3,218.2,359,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,158,24,246,27,96,24,193,10,519,16,61,10,-9900,99,-9900,99,-9900,99,1.2,51,0.093,1,0.124,1,0.407,51,0.15,0
2010-01-01,16:00,82.9,229.9,174,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,62,24,71,27,53,24,70,10,262,16,37,10,-9900,99,-9900,99,-9900,99,1.2,3,0.093,1,0.124,1,0.410,51,0.15,0
2010-01-01,17:00,88.6,237.0,12,483,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,2,24,1,27,2,24,2,10,12,16,2,10,-9900,99,-9900,99,-9900,99,1.1,51,0.093,1,0.124,1,0.413,51,0.15,0
2010-01-01,18:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,51,0.093,1,0.124,1,0.415,51,0.15,0
2010-01-01,19:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,3,0.093,1,0.124,1,0.418,51,0.15,0
2010-01-01,20:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.093,1,0.124,1,0.421,51,0.15,0
2010-01-01,21:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.093,1,0.124,1,0.424,51,0.15,0
2010-01-01,22:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,3,0.093,1,0.124,1,0.427,51,0.15,0
2010-01-01,23:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.093,1,0.124,1,0.429,51,0.15,0
2010-01-01,24:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.093,1,0.124,1,0.432,51,0.15,0
2010-01-02,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,3,0.093,1,0.124,1,0.435,2,0.15,0
2010-01-02,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.093,1,0.124,1,0.435,51,0.15,0
2010-01-02,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.093,1,0.124,1,0.434,51,0.15,0
2010-01-02,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,3,0.093,1,0.124,1,0.434,51,0.15,0
2010-01-02,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.093,1,0.124,1,0.434,51,0.15,0
2010-01-02,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.093,1,0.124,1,0.434,51,0.15,0
2010-01-02,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,3,0.093,1,0.124,1,0.433,51,0.15,0
2010-01-02,8:00,86.8,125.1,58,1049,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,7,25,0,28,7,25,19,10,141,16,11,10,-9900,99,-9900,99,-9900,99,0.9,51,0.093,1,0.074,1,0.433,51,0.15,0
2010-01-02,9:00,79.6,134.6,255,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,40,25,0,28,40,25,131,10,514,16,38,10,-9900,99,-9900,99,-9900,99,0.9,51,0.093,1,0.074,1,0.433,51,0.15,0
2010-01-02,10:00,72.7,146.9,421,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,64,24,0,27,64,24,258,10,693,16,52,10,-9900,99,-9900,99,-9900,99,0.9,3,0.093,1,0.074,1,0.432,51,0.15,0
2010-01-02,11:00,67.8,160.6,535,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,87,25,0,28,87,25,353,10,772,16,61,10,-9900,99,-9900,99,-9900,99,0.9,51,0.093,1,0.074,1,0.432,51,0.15,0
2010-01-02,12:00,65.5,175.4,587,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,98,25,0,28,98,25,398,10,802,16,65,10,-9900,99,-9900,99,-9900,99,0.9,51,0.093,1,0.074,1,0.432,51,0.15,0
2010-01-02,13:00,66.0,190.5,575,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,114,24,0,27,114,24,387,10,795,16,64,10,-9900,99,-9900,99,-9900,99,0.9,3,0.093,1,0.074,1,0.432,51,0.15,0
2010-01-02,14:00,69.4,205.0,498,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,95,25,0,28,95,25,322,10,750,16,58,10,-9900,99,-9900,99,-9900,99,0.8,51,0.093,1,0.074,1,0.431,51,0.15,0
2010-01-02,15:00,75.2,218.1,362,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,63,25,0,28,63,25,211,10,641,16,47,10,-9900,99,-9900,99,-9900,99,0.8,51,0.093,1,0.074,1,0.431,51,0.15,0
2010-01-02,16:00,82.8,229.8,178,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,21,25,0,28,21,25,80,10,394,16,31,10,-9900,99,-9900,99,-9900,99,0.8,3,0.093,1,0.074,1,0.431,51,0.15,0
2010-01-02,17:00,88.5,237.1,13,507,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,1,25,0,28,1,25,3,10,40,16,2,10,-9900,99,-9900,99,-9900,99,0.8,51,0.093,1,0.074,1,0.430,51,0.15,0
2010-01-02,18:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.093,1,0.074,1,0.430,51,0.15,0
2010-01-02,19:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,3,0.093,1,0.074,1,0.430,51,0.15,0
2010-01-02,20:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,51,0.093,1,0.074,1,0.429,51,0.15,0
2010-01-02,21:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,51,0.093,1,0.074,1,0.429,51,0.15,0
2010-01-02,22:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,3,0.093,1,0.074,1,0.429,51,0.15,0
2010-01-02,23:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,51,0.093,1,0.074,1,0.429,51,0.15,0
2010-01-02,24:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,51,0.093,1,0.074,1,0.428,51,0.15,0
2010-01-03,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,3,0.093,1,0.074,1,0.428,2,0.15,0
2010-01-03,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,51,0.093,1,0.074,1,0.427,51,0.15,0
2010-01-03,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.093,1,0.074,1,0.425,51,0.15,0
2010-01-03,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,3,0.093,1,0.074,1,0.424,51,0.15,0
2010-01-03,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.093,1,0.074,1,0.423,51,0.15,0
2010-01-03,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.093,1,0.074,1,0.421,51,0.15,0
2010-01-03,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,3,0.093,1,0.074,1,0.420,51,0.15,0
2010-01-03,8:00,86.8,124.9,58,1049,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,9,25,0,28,9,25,17,10,84,16,12,10,-9900,99,-9900,99,-9900,99,0.8,51,0.093,1,0.111,1,0.419,51,0.15,0
2010-01-03,9:00,79.6,134.5,255,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,30,25,0,28,30,25,123,10,427,16,46,10,-9900,99,-9900,99,-9900,99,0.8,51,0.093,1,0.111,1,0.417,51,0.15,0
2010-01-03,10:00,72.6,146.7,422,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,59,24,0,27,59,24,249,10,619,16,64,10,-9900,99,-9900,99,-9900,99,0.8,3,0.093,1,0.111,1,0.416,51,0.15,0
2010-01-03,11:00,67.7,160.5,537,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,97,25,0,28,97,25,344,10,707,16,76,10,-9900,99,-9900,99,-9900,99,0.8,51,0.093,1,0.111,1,0.415,51,0.15,0
2010-01-03,12:00,65.4,175.3,589,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,110,24,0,27,110,24,390,10,740,16,82,10,-9900,99,-9900,99,-9900,99,0.8,51,0.093,1,0.111,1,0.413,51,0.15,0
2010-01-03,13:00,65.9,190.4,577,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,107,24,0,27,107,24,379,10,732,16,80,10,-9900,99,-9900,99,-9900,99,0.8,3,0.093,1,0.111,1,0.412,51,0.15,0
2010-01-03,14:00,69.3,204.9,501,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,205,24,59,27,184,24,313,10,682,16,72,10,-9900,99,-9900,99,-9900,99,0.8,51,0.093,1,0.111,1,0.411,51,0.15,0
2010-01-03,15:00,75.0,218.1,365,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,94,25,154,28,54,25,203,10,563,16,58,10,-9900,99,-9900,99,-9900,99,0.8,51,0.093,1,0.111,1,0.409,51,0.15,0
2010-01-03,16:00,82.6,229.8,181,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,27,24,0,27,27,24,76,10,307,16,37,10,-9900,99,-9900,99,-9900,99,0.8,3,0.093,1,0.111,1,0.408,51,0.15,0
2010-01-03,17:00,88.5,237.1,14,531,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,2,25,0,28,2,25,3,10,19,16,2,10,-9900,99,-9900,99,-9900,99,0.9,51,0.093,1,0.111,1,0.407,51,0.15,0
2010-01-03,18:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.093,1,0.111,1,0.405,51,0.15,0
2010-01-03,19:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,3,0.093,1,0.111,1,0.404,51,0.15,0
2010-01-03,20:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.093,1,0.111,1,0.403,51,0.15,0
2010-01-03,21:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.093,1,0.111,1,0.401,51,0.15,0
