YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
1995-01-01,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,1,0.093,1,0.093,1,0.355,1,0.15,0
1995-01-01,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,1,0.093,1,0.093,1,0.355,1,0.15,0
1995-01-01,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,1,0.093,1,0.093,1,0.355,1,0.15,0
1995-01-01,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,1,0.093,1,0.093,1,0.355,1,0.15,0
1995-01-01,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,1,0.093,1,0.093,1,0.355,1,0.15,0
1995-01-01,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.093,1,0.355,1,0.15,0
1995-01-01,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.093,1,0.355,1,0.15,0
1995-01-01,8:00,86.8,125.2,58,1049,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,6,10,0,16,6,10,19,10,124,16,12,10,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-01,9:00,79.6,134.8,254,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,27,10,0,16,27,10,129,10,489,16,41,10,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-01,10:00,72.7,147.1,420,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,52,10,0,16,52,10,255,10,670,16,56,10,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-01,11:00,67.9,160.8,533,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,71,10,0,16,71,10,349,10,752,16,66,10,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-01,12:00,65.6,175.6,585,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,80,10,0,16,80,10,394,10,782,16,70,10,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-01,13:00,66.2,190.6,571,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,78,10,0,16,78,10,382,10,775,16,69,10,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-01,14:00,69.6,205.1,494,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,64,10,0,16,64,10,316,10,727,16,62,10,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-01,15:00,75.3,218.2,358,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,42,10,0,16,42,10,205,10,613,16,50,10,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-01,16:00,83.0,229.9,173,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,17,10,0,16,17,10,76,10,359,16,32,10,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-01,17:00,88.6,237.0,11,483,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,1,10,0,16,1,10,2,10,31,16,2,10,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-01,18:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-01,19:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-01,20:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-01,21:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-01,22:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-01,23:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-01,24:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-02,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-02,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-02,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-02,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-02,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-02,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-02,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.093,1,0.084,1,0.355,1,0.15,0
1995-01-02,8:00,86.8,125.1,58,1049,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,6,10,0,16,6,10,20,10,149,16,11,10,-9900,99,-9900,99,-9900,99,0.8,1,0.093,1,0.072,1,0.355,1,0.15,0
1995-01-02,9:00,79.6,134.7,254,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,34,10,0,16,34,10,133,10,527,16,38,10,-9900,99,-9900,99,-9900,99,0.8,1,0.093,1,0.072,1,0.355,1,0.15,0
1995-01-02,10:00,72.7,146.9,421,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,65,10,0,16,65,10,261,10,704,16,51,10,-9900,99,-9900,99,-9900,99,0.8,1,0.093,1,0.072,1,0.355,1,0.15,0
1995-01-02,11:00,67.8,160.6,535,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,88,10,0,16,88,10,356,10,783,16,61,10,-9900,99,-9900,99,-9900,99,0.8,1,0.093,1,0.072,1,0.355,1,0.15,0
